,precision,recall,f1-score,support
0,0.7394366197183099,0.7191780821917808,0.7291666666666666,146.0
1,0.5213675213675214,0.6288659793814433,0.5700934579439253,97.0
2,0.5423728813559322,0.897196261682243,0.676056338028169,107.0
3,0.7382198952879581,0.698019801980198,0.7175572519083968,202.0
4,0.7263157894736842,0.6764705882352942,0.7005076142131981,102.0
5,0.8653846153846154,0.8823529411764706,0.8737864077669903,102.0
6,0.7595628415300546,0.8633540372670807,0.8081395348837209,161.0
7,0.6486486486486487,0.5255474452554745,0.5806451612903226,137.0
8,0.9069767441860465,0.6763005780346821,0.7748344370860927,173.0
9,0.6666666666666666,0.7938931297709924,0.7247386759581882,131.0
10,0.8588235294117647,0.8021978021978022,0.8295454545454546,182.0
11,0.948051948051948,0.7053140096618358,0.8088642659279778,207.0
12,0.8979591836734694,0.9777777777777777,0.9361702127659575,45.0
13,0.4863013698630137,0.5634920634920635,0.5220588235294118,126.0
14,0.875,0.8495145631067961,0.8620689655172414,206.0
accuracy,0.7419962335216572,0.7419962335216572,0.7419962335216572,0.7419962335216572
macro avg,0.7454058836413089,0.7506316707474622,0.7409488845354477,2124.0
weighted avg,0.7617315058365278,0.7419962335216572,0.7449017949340598,2124.0
